title,release_date,movie_score,genderer,movie_length,cost,collected,phase,franchise
Iron Man 1,4-14-2008,93,Action & Adventure,126,140000000,585174222,1,Iron Man
The Incredible Hulk,6-12-2008,67,Action & Adventure,112,150000000,263427551,1,Hulk
Iron Man 2,5-7-2010,73,Action & Adventure,124,200000000,623933331,1,Iron Man
Thor,5-6-2011,77,Action & Adventure,115,150000000,449326618,1,Thor
Captain America: The First Avenger,6-22-2011,80,Action & Adventure,124,140000000,370569774,1,Captain
Marvel's The Avengers,5-4-2012,92,Action & Adventure,142,220000000,1518812988,1,Avengers
Iron Man 3,5-3-2013,79,Action & Adventure,129,200000000,1214811252,2,Iron Man
Thor: The Dark World,11-8-2013,67,Action & Adventure,120,170000000,644571402,2,Thor
Captain America: The Winter Soldier,4-4-2014,90,Action & Adventure,136,170000000,714264267,2,Captain
Guardians of the Galaxy,6-1-2014,91,Action & Adventure,121,170000000,773328629,2,Guardians
Avengers: Age of Ultron,4-1-2015,75,Action & Adventure,141,250000000,1405403694,2,Avengers
Ant-Man,7-17-2015,83,Action & Adventure,117,130000000,519311965,2,AntMan
Captain America: Civil War,5-6-2016,91,Action & Adventure,147,250000000,1153304495,3,Captain
Doctor Strange,11-4-2017,89,Action & Adventure,115,165000000,677718395,3,Doctor
Guardians of the Galaxy Vol. 2,5-5-2017,84,Action & Adventure,137,200000000,863756051,3,Guardians
Spider-Man: Homecoming,7-7-2017,92,Action & Adventure,143,175000000,880166924,3,Spider
Thor: Ragnarok,11-3-2017,93,Action & Adventure,130,180000000,853977126,3,Thor
Black Panther,2-16-2018,96,Action & Adventure,140,205000000,1346913161,3,Panther
Avengers: Infinity War,4-27-2018,85,Action & Adventure,156,358000000,2048359754,3,Avengers
Ant-Man and the Wasp,7-6-2018,88,Action & Adventure,118,162000000,622674139,3,AntMan
Captain Marvel,3-8-2019,78,Action & Adventure,128,152000000,1128274794,3,CapMarvel
Avengers: Endgame,4-26-2019,94,Action & Adventure,181,356000000,2796155289,3,Avengers
Spider-Man: Far From Home,7-2-2019,90,Action & Adventure,129,160000000,1116601178,3,Spider